hidden_dim,latent_dim,lr_generator,lr_discriminator,epochs,accuracy,f1,auc
384,128,0.0003,0.00015,250,0.9181577596081685,0.8720987654320987,0.9713772295889057
512,100,0.0002,0.00015,250,0.9157483114113046,0.8716065731655932,0.971795708433842
512,128,0.0003,0.00015,250,0.9181182604574002,0.868472812638792,0.9718193277147714
512,128,0.0002,0.00015,250,0.9134968598175139,0.8677855590437092,0.97038558664942
512,128,0.0002,0.0001,250,0.9180787613066319,0.8675944841675178,0.9716532878024667
384,128,0.0003,0.00015,200,0.9154323182051586,0.8671753830882809,0.9698003413664066
512,100,0.0002,0.0001,250,0.9169727850851207,0.8670798027064627,0.9713616668313938
512,128,0.0003,0.00015,200,0.9165382944266698,0.866830528770404,0.9704697917057803
512,100,0.0003,0.00015,200,0.9136943555713553,0.8667764160721907,0.9707543596222007
512,100,0.0003,0.0001,250,0.9164987952759016,0.8667423096318709,0.9707718825606335
512,128,0.0003,0.0001,250,0.9122328869929297,0.8663378248315688,0.9707065671743572
512,128,0.0002,0.00015,200,0.915945807165146,0.8663148636763413,0.9709660195983565
384,100,0.0002,0.00015,200,0.9147608326420982,0.8662949194547708,0.969976182183315
256,128,0.0003,0.00015,250,0.9140498479282695,0.8658446362515413,0.9699094605021028
256,100,0.0003,0.00015,250,0.9140893470790378,0.8654833323025543,0.9690542965079719
384,128,0.0002,0.0001,250,0.9144448394359521,0.8653654898060666,0.969536867874023
256,128,0.0002,0.0001,250,0.9139313504759647,0.8653358877696063,0.9681747183705567
512,100,0.0003,0.0001,200,0.9149583283959395,0.8652437879451712,0.9691185580722121
384,100,0.0003,0.00015,200,0.9148793300944029,0.8649156898389018,0.9699564113309823
384,100,0.0003,0.00015,250,0.9114034048267963,0.8648550942941495,0.96962150093319
256,128,0.0003,0.0001,250,0.9136153572698187,0.864791344667697,0.9686421262086043
384,100,0.0002,0.00015,250,0.9165382944266698,0.8641070165283941,0.9716000356213428
384,100,0.0002,0.0001,250,0.9152348224513173,0.8639533409407887,0.9698123829915857
256,100,0.0002,0.0001,250,0.9156693131097682,0.8638653318880316,0.9689659768700091
384,128,0.0002,0.00015,200,0.9142868428328791,0.8635391774619545,0.9692822817340343
512,128,0.0002,0.0001,200,0.9150768258482442,0.8634226908906111,0.9693105802725377
384,128,0.0003,0.0001,200,0.9104159260575898,0.8628778718258766,0.9688162694009357
384,100,0.0003,0.0001,200,0.9119958920883201,0.8626895106619007,0.9684165939061894
384,128,0.0002,0.00015,250,0.9111664099221867,0.8623201714110805,0.9685811088337047
384,100,0.0003,0.0001,250,0.9141683453805743,0.8614953151889859,0.9698323696436527
512,100,0.0002,0.0001,200,0.9139313504759647,0.8613779502512883,0.9693230103372389
384,128,0.0003,0.0001,250,0.9111269107714184,0.8611453961984695,0.9689469972833691
512,128,0.0003,0.0001,200,0.9085989651222499,0.8606192025057222,0.9675124145990535
512,100,0.0002,0.00015,200,0.9084804676699451,0.8603796324194034,0.9687113187967755
256,100,0.0003,0.0001,250,0.9080854761622625,0.8603325130544385,0.9678119482270541
256,100,0.0003,0.00015,200,0.9134968598175139,0.8597951344430218,0.9686766433761209
256,128,0.0003,0.00015,200,0.9127858751036853,0.8591836734693877,0.9680380775754008
256,128,0.0003,0.0001,200,0.9098629379468341,0.8588919119465743,0.9660913697514086
256,100,0.0002,0.0001,200,0.9131018683098313,0.8584298584298584,0.9674660608161056
256,128,0.0002,0.0001,200,0.9067030058853734,0.8584272356748981,0.9671187311435989
256,128,0.0002,0.00015,200,0.9120353912390884,0.8569225827176358,0.9678446814500994
512,100,0.0003,0.00015,250,0.91381285302366,0.8565606100447015,0.970903117572443
384,100,0.0002,0.0001,200,0.9119958920883201,0.8554185593770279,0.9680112500717535
256,100,0.0002,0.00015,200,0.9114034048267963,0.8527925444641333,0.968527666029482
256,100,0.0003,0.0001,200,0.9082829719161039,0.8514965464313123,0.9659473773786346
384,128,0.0002,0.0001,200,0.910771418414504,0.8506248760166634,0.9683483939967967
256,128,0.0002,0.00015,250,0.9072559939961291,0.8416295696748954,0.9676190124745195
256,100,0.0002,0.00015,250,0.9013706205316586,0.8292182477258737,0.9664309845834108
